,x,y,w,h,score,match
75,50,1195,70,56,0.7056082,05_07_2019.jpg
82,84,1759,70,56,0.70807326,05_07_2019.jpg
73,99,1123,70,56,0.7067977,05_07_2019.jpg
42,195,1869,43,51,0.7261277,01_02_2023 LG 282 copy 9.jpg
41,211,1825,43,51,0.8642895,01_02_2023 LG 282 copy 9.jpg
22,226,1786,53,39,0.8052533,01_10_2023 LG 282 copy 4.jpg
21,241,1743,53,39,0.7779744,01_10_2023 LG 282 copy 4.jpg
81,254,1645,70,56,0.7819038,05_07_2019.jpg
20,259,1699,53,39,0.84295917,01_10_2023 LG 282 copy 4.jpg
78,294,1376,70,56,0.7114997,05_07_2019.jpg
19,297,1609,53,39,0.8144472,01_10_2023 LG 282 copy 4.jpg
80,310,1513,70,56,0.74614924,05_07_2019.jpg
39,318,1563,43,51,0.8091535,01_02_2023 LG 282 copy 9.jpg
18,354,1484,53,39,0.79924417,01_10_2023 LG 282 copy 4.jpg
79,374,1386,70,56,0.82891434,05_07_2019.jpg
17,375,1440,53,39,0.7898687,01_10_2023 LG 282 copy 4.jpg
77,421,1287,70,56,0.7059168,05_07_2019.jpg
76,436,1242,70,56,0.7201164,05_07_2019.jpg
16,453,1281,53,39,0.73740155,01_10_2023 LG 282 copy 4.jpg
45,465,1232,77,51,0.76838994,05_28_2019_processed copy.jpg
74,477,1166,70,56,0.7710614,05_07_2019.jpg
15,493,1205,53,39,0.724446,01_10_2023 LG 282 copy 4.jpg
72,511,1114,70,56,0.7008904,05_07_2019.jpg
69,524,907,70,56,0.7193724,05_07_2019.jpg
71,525,1081,70,56,0.73452073,05_07_2019.jpg
44,565,1036,77,51,0.7859372,05_28_2019_processed copy.jpg
0,572,1003,84,47,0.7454898,06_04_2019_processed copy 2.jpg
70,574,968,70,56,0.70023745,05_07_2019.jpg
67,594,794,70,56,0.7370878,05_07_2019.jpg
63,608,958,74,59,0.8370131,06_07_2019_processed copy.jpg
62,631,908,74,59,0.81357604,06_07_2019_processed copy.jpg
68,653,825,70,56,0.76385987,05_07_2019.jpg
65,676,775,70,56,0.7734909,05_07_2019.jpg
43,739,695,77,51,0.7745021,05_28_2019_processed copy.jpg
14,776,661,53,39,0.7820238,01_10_2023 LG 282 copy 4.jpg
13,838,577,53,39,0.72943085,01_10_2023 LG 282 copy 4.jpg
12,863,539,53,39,0.7211954,01_10_2023 LG 282 copy 4.jpg
64,896,350,70,56,0.7473387,05_07_2019.jpg
10,898,505,53,39,0.72912097,01_10_2023 LG 282 copy 4.jpg
9,926,470,53,39,0.78405935,01_10_2023 LG 282 copy 4.jpg
28,957,432,43,51,0.7569331,01_02_2023 LG 282 copy 9.jpg
26,997,393,43,51,0.816771,01_02_2023 LG 282 copy 9.jpg
25,1043,358,43,51,0.83852816,01_02_2023 LG 282 copy 9.jpg
7,1131,300,47,63,0.789128,01_02_2023 LG 282 copy 5.jpg
4,1181,291,51,63,0.7631067,01_02_2023 LG 282 copy.jpg
5,1226,279,46,66,0.81184864,12_13_2022 LG 282 copy 4.jpg
8,1272,286,53,39,0.85373586,01_10_2023 LG 282 copy 4.jpg
23,1366,285,43,51,0.8229558,01_02_2023 LG 282 copy 9.jpg
24,1462,314,43,51,0.7358746,01_02_2023 LG 282 copy 9.jpg
46,1553,380,48,42,0.7637764,12_13_2022 LG 282 copy.jpg
29,1557,448,43,51,0.71969795,01_02_2023 LG 282 copy 9.jpg
27,1603,418,43,51,0.8955614,01_02_2023 LG 282 copy 9.jpg
58,1626,455,60,53,0.7977975,01_10_2023 LG 282 copy 12.jpg
11,1700,528,53,39,0.73185986,01_10_2023 LG 282 copy 4.jpg
30,1731,563,43,51,0.83160913,01_02_2023 LG 282 copy 9.jpg
31,1790,648,43,51,0.7997609,01_02_2023 LG 282 copy 9.jpg
32,1814,696,43,51,0.8451663,01_02_2023 LG 282 copy 9.jpg
66,1835,779,70,56,0.735916,05_07_2019.jpg
33,1839,740,43,51,0.79971164,01_02_2023 LG 282 copy 9.jpg
59,1862,833,60,53,0.7106131,01_10_2023 LG 282 copy 12.jpg
6,1899,907,79,54,0.9997762,05_10_2019 copy.jpg
34,1903,862,43,51,0.76513046,01_02_2023 LG 282 copy 9.jpg
3,1930,947,66,50,0.9993961,05_10_2019_processed.jpg
35,1977,1025,43,51,0.765325,01_02_2023 LG 282 copy 9.jpg
61,1993,1071,62,50,0.99974686,05_10_2019.jpg
36,2027,1110,43,51,0.8376464,01_02_2023 LG 282 copy 9.jpg
54,2041,1155,55,45,0.7734904,01_10_2023 LG 282 copy 13.jpg
60,2051,1194,60,53,0.7691138,01_10_2023 LG 282 copy 12.jpg
55,2078,1234,55,45,0.7463729,01_10_2023 LG 282 copy 13.jpg
37,2103,1268,43,51,0.7969202,01_02_2023 LG 282 copy 9.jpg
50,2115,1310,54,44,0.8151912,01_10_2023 LG 282 copy 11.jpg
1,2130,1388,84,47,0.70454013,06_04_2019_processed copy 2.jpg
51,2133,1349,54,44,0.84710115,01_10_2023 LG 282 copy 11.jpg
38,2197,1461,43,51,0.84413797,01_02_2023 LG 282 copy 9.jpg
56,2228,1550,55,45,0.7782609,01_10_2023 LG 282 copy 13.jpg
52,2246,1587,54,44,0.8917592,01_10_2023 LG 282 copy 11.jpg
40,2269,1625,43,51,0.83416736,01_02_2023 LG 282 copy 9.jpg
53,2281,1667,54,44,0.86772835,01_10_2023 LG 282 copy 11.jpg
57,2300,1709,55,45,0.7637247,01_10_2023 LG 282 copy 13.jpg
47,2320,1746,48,42,0.8992959,12_13_2022 LG 282 copy.jpg
2,2332,1788,62,43,0.8263597,12_29_2022 LG 282 copy 2.jpg
48,2354,1835,48,42,0.8660845,12_13_2022 LG 282 copy.jpg
49,2391,1894,48,42,0.71365464,12_13_2022 LG 282 copy.jpg
