,x,y,w,h,score,match
26,100,1889,53,39,0.7489082,01_10_2023 LG 282 copy 4.jpg
50,124,1767,77,51,0.8558187,05_28_2019_processed copy.jpg
65,126,1802,49,46,0.7779782,01_10_2023 LG 282 copy 3.jpg
49,142,1718,77,51,0.8394704,05_28_2019_processed copy.jpg
76,142,1480,70,56,0.75873536,05_07_2019.jpg
48,168,1670,77,51,0.7562765,05_28_2019_processed copy.jpg
75,168,1425,70,56,0.74898034,05_07_2019.jpg
23,195,1639,53,39,0.8349439,01_10_2023 LG 282 copy 4.jpg
47,205,1586,77,51,0.8488102,05_28_2019_processed copy.jpg
27,206,171,43,51,0.722553,01_02_2023 LG 282 copy 9.jpg
46,220,1538,77,51,0.82608443,05_28_2019_processed copy.jpg
45,237,1494,77,51,0.8381365,05_28_2019_processed copy.jpg
44,258,1450,77,51,0.84540683,05_28_2019_processed copy.jpg
74,267,1381,70,56,0.7023539,05_07_2019.jpg
43,296,1371,77,51,0.8315364,05_28_2019_processed copy.jpg
1,306,1333,84,47,0.7955289,06_04_2019_processed copy 2.jpg
42,334,1285,77,51,0.8780729,05_28_2019_processed copy.jpg
73,340,1232,70,56,0.83549476,05_07_2019.jpg
71,364,999,70,56,0.7133333,05_07_2019.jpg
41,389,1163,77,51,0.8424585,05_28_2019_processed copy.jpg
40,407,1121,77,51,0.792335,05_28_2019_processed copy.jpg
39,428,1083,77,51,0.8660032,05_28_2019_processed copy.jpg
70,445,991,70,56,0.82039,05_07_2019.jpg
20,453,1052,53,39,0.77938926,01_10_2023 LG 282 copy 4.jpg
69,487,908,70,56,0.76854444,05_07_2019.jpg
68,528,831,70,56,0.75701195,05_07_2019.jpg
13,546,934,41,45,0.70496225,01_02_2023 LG 282 copy 7.jpg
18,608,765,53,39,0.7521275,01_10_2023 LG 282 copy 4.jpg
34,631,713,43,51,0.87964195,01_02_2023 LG 282 copy 9.jpg
33,652,667,43,51,0.75881916,01_02_2023 LG 282 copy 9.jpg
38,657,622,77,51,0.71064186,05_28_2019_processed copy.jpg
6,703,554,41,85,0.7348579,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
32,748,500,43,51,0.8885601,01_02_2023 LG 282 copy 9.jpg
31,780,456,43,51,0.7113689,01_02_2023 LG 282 copy 9.jpg
36,837,1803,43,51,0.7153111,01_02_2023 LG 282 copy 9.jpg
30,848,375,43,51,0.85796314,01_02_2023 LG 282 copy 9.jpg
29,885,341,43,51,0.8105865,01_02_2023 LG 282 copy 9.jpg
28,968,268,43,51,0.8812597,01_02_2023 LG 282 copy 9.jpg
3,1047,221,62,43,0.81300914,12_29_2022 LG 282 copy 2.jpg
51,1108,203,48,42,0.7349687,12_13_2022 LG 282 copy.jpg
16,1213,196,47,63,0.7637619,01_02_2023 LG 282 copy 5.jpg
17,1305,213,53,39,0.74680144,01_10_2023 LG 282 copy 4.jpg
8,1340,146,44,37,0.7228087,01_02_2023 LG 282 copy 2.jpg
2,1354,206,45,72,0.77025723,01_10_2023 LG 282 copy.jpg
12,1417,252,41,45,0.71825546,01_02_2023 LG 282 copy 7.jpg
4,1443,276,62,43,0.74677587,12_29_2022 LG 282 copy 2.jpg
14,1533,356,52,43,0.71425486,06_14_2019_processed copy 2.jpg
64,1570,393,50,47,0.8032861,01_10_2023 LG 282 copy 10.jpg
15,1608,435,47,40,0.7903617,01_10_2023 LG 282 copy 8.jpg
52,1643,473,48,42,0.8350339,12_13_2022 LG 282 copy.jpg
66,1659,511,60,53,0.719781,01_10_2023 LG 282 copy 12.jpg
53,1690,553,48,42,0.7651823,12_13_2022 LG 282 copy.jpg
5,1713,594,62,43,0.8337363,12_29_2022 LG 282 copy 2.jpg
54,1742,632,48,42,0.7987481,12_13_2022 LG 282 copy.jpg
55,1767,694,48,42,0.72240096,12_13_2022 LG 282 copy.jpg
67,1776,735,60,53,0.71021664,01_10_2023 LG 282 copy 12.jpg
77,1808,775,52,44,0.7484336,06_14_2019_processed copy.jpg
56,1822,816,48,42,0.72814316,12_13_2022 LG 282 copy.jpg
19,1848,856,53,39,0.8315428,01_10_2023 LG 282 copy 4.jpg
57,1883,931,48,42,0.75559247,12_13_2022 LG 282 copy.jpg
72,1898,1006,70,56,0.78423756,05_07_2019.jpg
58,1902,972,48,42,0.79135776,12_13_2022 LG 282 copy.jpg
9,1918,1057,75,57,0.8049672,05_14_2019_processed copy.jpg
10,1933,1100,75,57,0.7930228,05_14_2019_processed copy.jpg
0,1967,1178,84,47,0.7574575,06_04_2019_processed copy 2.jpg
21,1974,1140,53,39,0.767705,01_10_2023 LG 282 copy 4.jpg
22,2010,1223,53,39,0.7925027,01_10_2023 LG 282 copy 4.jpg
59,2012,1273,48,42,0.78864866,12_13_2022 LG 282 copy.jpg
78,2027,1309,52,44,0.732593,06_14_2019_processed copy.jpg
35,2084,1378,43,51,0.8232354,01_02_2023 LG 282 copy 9.jpg
60,2100,1477,48,42,0.7487434,12_13_2022 LG 282 copy.jpg
11,2143,1598,75,57,0.705832,05_14_2019_processed copy.jpg
61,2191,1675,48,42,0.8111654,12_13_2022 LG 282 copy.jpg
24,2212,1844,53,39,0.7131278,01_10_2023 LG 282 copy 4.jpg
62,2213,1726,48,42,0.8425476,12_13_2022 LG 282 copy.jpg
7,2269,1809,50,58,0.7331949,02_07_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
63,2280,1897,48,42,0.7156918,12_13_2022 LG 282 copy.jpg
37,2360,1848,43,51,0.81230414,01_02_2023 LG 282 copy 9.jpg
25,2441,1881,53,39,0.7435298,01_10_2023 LG 282 copy 4.jpg
